ticker,stock
AAK.ST,AAK
ABB.ST,ABB
ARION-SDB.ST,Arion Bank SDB
ASSA-B.ST,Assa Abloy
ATCO-B.ST,Atlas Copco
ALIV-SDB.ST,Autoliv SDB
HEM.ST,Hemnet Group
INDU-C.ST,Industrivärden C
INVE-B.ST,Investor B
LUND-B.ST,Lundberg B
MTRS.ST,Munters Group AB
MYCR.ST,Mycronic
NCC-B.ST,NCC B
PNDX-B.ST,Pandox B
SAAB-B.ST,SAAB B
SEB-C.ST,SEB C
SECU-B.ST,Securitas B
SKA-B.ST,Skanska B
SWED-A.ST,Swedbank A
8TRA.ST,TRATON SE
TREL-B.ST,Trelleborg B
VOLV-B.ST,Volvo B
AMBEA.ST,Ambea
AQ.ST,AQ Group
BERG-B.ST,Bergman & Beving B
BETCO.ST,Better Collective
CLAS-B.ST,Clas Ohlson B
CTT.ST,CTT Systems
EMIL-B.ST,Emilshus
GIGSEK.ST,Gaming Innovation Group
HOFI.ST,Hoist Finance
IAR-B.ST,I.A.R Systems Group
INWI.ST,Inwido
ITAB.ST,ITAB Shop Concept
KABE-B.ST,KABE Group
KAR.ST,Karnov Group
MCAP.ST,MedCap
MMGR-B.ST,Momentum Group
NORION.ST,Norion Bank-
RAY-B.ST,RaySearch Laboratories
SCST.ST,Scandi Standard
SHOT.ST,Scandic Hotels Group
TDVOX.ST,Tobii Dynavox
VBG-B.ST,VBG Group
