ticker,stock
ACAD.ST,AcadeMedia
AOI.ST,Africa Oil Corp.
ALIG.ST,Alimak Group
ALLIGO-B.ST,Alligo B
AMBEA.ST,Ambea
ANNE-B.ST,Annehem Fastigheter B
AQ.ST,AQ Group
ARP.ST,Arctic Paper
ARISE.ST,Arise
ATT.ST,Attendo
BACTI-B.ST,Bactiguard Holding B
BALCO.ST,Balco Group
BEIA-B.ST,Beijer Alma B
BERG-B.ST,Bergman & Beving B
BESQ.ST,Besqab
BETS-B.ST,Betsson B
BETCO.ST,Better Collective
BHG.ST,BHG Group
BICO.ST,BICO Group
BIOG-B.ST,BioGaia B
BINV.ST,BioInvent International
BONAV-B.ST,Bonava B
BONEX.ST,BONESUPPORT
BTS-B.ST,BTS Group B
BULTEN.ST,Bulten
BMAX.ST,Byggmax Group
CALTX.ST,Calliditas Therapeutics
CAMX.ST,Camurus
CAT-B.ST,Catella B
CTM.ST,Catena Media
CCC.ST,Cavotec SA
CEVI.ST,CellaVision
CIBUS.ST,Cibus Nordic Real Estate
CLAS-B.ST,Clas Ohlson B
CLA-B.ST,Cloetta
COIC.ST,Concentric
COOR.ST,Coor Service Management Holding
COPP.ST,Copperstone Resources
CTT.ST,CTT Systems
DUNI.ST,Duni
DUST.ST,Dustin Group
EAST.ST,Eastnine
ELAN-B.ST,Elanders
ELTEL.ST,Eltel
EMIL-B.ST,Emilshus
ENEA.ST,Enea
ENGCON-B.ST,engcon
EOLU-B.ST,Eolus Vind
EPEN.ST,Ependion
EWRK.ST,Ework Group
FAG.ST,Fagerhult Group
FG.ST,Fasadgruppen
FASTAT.ST,Fastator
FING-B.ST,Fingerprint Cards
FMM-B.ST,FM Mattsson
G5EN.ST,G5 Entertainment
GIGSEK.ST,Gaming Innovation Group
GARO.ST,Garo
GPG.ST,Genova Property Group
GREEN.ST,Green Landscaping Group
GRNG.ST,Gränges
HNSA.ST,Hansa Biopharma
HEBA-B.ST,Heba
HOFI.ST,Hoist Finance
HUM.ST,Humana
IAR-B.ST,I.A.R Systems Group
IVSO.ST,INVISIO
INWI.ST,Inwido
IRLAB-A.ST,IRLAB Therapeutics
ITAB.ST,ITAB Shop Concept
JOMA.ST,John Mattson
KFAST-B.ST,K-Fast Holding
K2A-B.ST,K2A Knaust & Andersson Fastigheter
KABE-B.ST,KABE Group
KAR.ST,Karnov Group
KLARA-B.ST,KlaraBo
KNOW.ST,Knowit
LIME.ST,Lime Technologies
LINC.ST,Linc
LOGI-B.ST,Logistea
LUC.ST,Lucara Diamond Corp
MANG.ST,Mangold
MCAP.ST,MedCap
MEKO.ST,MEKO
MILDEF.ST,MilDef Group
MMGR-B.ST,Momentum Group
NMAN.ST,Nederman Holding
NETI-B.ST,Net Insight
NETEL.ST,Netel
NIVI-B.ST,Nivika
NOBI.ST,Nobia
NPAPER.ST,Nordic Paper Holding AB
NWG.ST,Nordic Waterproofing Holding
NORB-B.ST,Nordisk Bergteknik
NORION.ST,Norion Bank-
NORVA.ST,Norva24
NOTE.ST,Note
OEM-B.ST,OEM International
OVZON.ST,Ovzon
PCELL.ST,PowerCell Sweden
PRIC-B.ST,Pricer
PACT.ST,Proact IT Group
PROB.ST,Probi
PRFO.ST,Profoto Holding
RAY-B.ST,RaySearch Laboratories
REJL-B.ST,Rejlers
RESURS.ST,Resurs Holding
RROS.ST,Rottneros
RUSTA.ST,Rusta
SCST.ST,Scandi Standard
SHOT.ST,Scandic Hotels Group
SEDANA.ST,Sedana Medical
SIVE.ST,Sivers Semiconductors
SKIS-B.ST,SkiStar
STEF-B.ST,Stendörren Fastigheter
SVOL-B.ST,Svolder-B.ST
SLP-B.ST,Swedish Logistic Property
SYNACT.ST,SynAct Pharma
SYNSAM.ST,Synsam
TETY.ST,Tethys Oil
TFBANK.ST,TF Bank
TOBII.ST,Tobii
TDVOX.ST,Tobii Dynavox
TRAC-B.ST,Traction
TRIAN-B.ST,Trianon
VBG-B.ST,VBG Group
VEFAB.ST,VEF
VESTUM.ST,Vestum
VNV.ST,VNV Global
WBGR-B.ST,Wästbygg
XANO-B.ST,XANO Industri
XBRANE.ST,Xbrane Biopharma
XVIVO.ST,Xvivo Perfusion
ORES.ST,Öresund
