ticker,stock
AAK.ST,AAK
ALLEI.ST,Alleima
ASSA-B.ST,Assa Abloy
ATCO-B.ST,Atlas Copco
ALIV-SDB.ST,Autoliv SDB
AXFO.ST,Axfood
HM-B.ST,H&M
HEM.ST,Hemnet Group
INDU-C.ST,Industrivärden C
INVE-B.ST,Investor B
LUG.TO,Lundin Gold
MTRS.ST,Munters Group AB
MYCR.ST,Mycronic
NCC-B.ST,NCC B
SSAB-B.ST,SSAB B
TREL-B.ST,Trelleborg B
VOLV-B.ST,Volvo B
AQ.ST,AQ Group
BERG-B.ST,Bergman & Beving B
BETCO.ST,Better Collective
BONEX.ST,BONESUPPORT
CAMX.ST,Camurus
CLAS-B.ST,Clas Ohlson B
CTT.ST,CTT Systems
DUNI.ST,Duni
EAST.ST,Eastnine
GRNG.ST,Gränges
HOFI.ST,Hoist Finance
INWI.ST,Inwido
KABE-B.ST,KABE Group
MCAP.ST,MedCap
MMGR-B.ST,Momentum Group
SCST.ST,Scandi Standard
SHOT.ST,Scandic Hotels Group
TDVOX.ST,Tobii Dynavox
VBG-B.ST,VBG Group
