ticker,stock
ALIF-B.ST,Addlife B
ARP.ST,Arctic Paper
ASAI.ST,Artificial Solutions Intern.
ASSA-B.ST,Assa Abloy B
AZA.ST,Avanza Bank Holding
BETCO.ST,Better Collective
BIOT.ST,Biotage
BOKUS.ST,Bokusgruppen
BONEX.ST,Bonesupport Holding
BURE.ST,Bure Equity
CAST.ST,Castellum
ELUX-B.ST,Electrolux B
ESSITY-B.ST,Essity B
EMBRAC-B.ST,Embracer
EVO.ST,Evolution
FABG.ST,Fabege
FNOX.ST,Fortnox
FPIP.ST,Formpipe Software
GETI-B.ST,Getinge B
GRNG.ST,Gränges
HDW-B.ST,H&D Wireless Sweden Holding
HAKI-B.ST,Haki Safety B
HEBA-B.ST,HEBA B
INSTAL.ST,Instalco
INVE-B.ST,Investor B
INWI.ST,Inwido
KABE-B.ST,KABE Group B
KINV-B.ST,Kinnevik B
LAGR-B.ST,Lagercrantz Group B
LATO-B.ST,Latour B
LIFCO-B.ST,Lifco B
LIME.ST,Lime Technologies
LIAB.ST,Lindab International
LUMI.ST,Lundin Mining Corporation
MESTRO.ST,Mestro
TIGO-SDB.ST,Millicom Int. Cellular SDB
NEOBO.ST,Neobo Fastigheter
NOTE.ST,NOTE
NYF.ST, Nyfosa
SAAB-B.ST,SAAB B
SBB-B.ST,Samhällsbyggnadsbolag i Norden
SDIP-B.ST,Sdiptech B
STW.ST,SeaTwirl
SEB-C.ST,SEB C
SECU-B.ST,Securitas B
SINCH.ST,Sinch
SKA-B.ST,Skanska B
STWK.ST,Stockwik Förvaltning
TEL2-B.ST,Tele2 B
VBG-B.ST,VBG Group B
VOLCAR-B.ST,Volvo Car B
ORES.ST, Öresund
