ticker,stock
AAK.ST,AAK
ABB.ST,ABB
ASSA-B.ST,Assa Abloy
ATCO-B.ST,Atlas Copco
ALIV-SDB.ST,Autoliv SDB
CATE.ST, Catena
HEM.ST,Hemnet Group
INDU-C.ST,Industrivärden C
INVE-B.ST,Investor B
LUND-B.ST,Lundberg B
MTRS.ST,Munters Group AB
MYCR.ST,Mycronic
NCC-B.ST,NCC B
NDA-SE.ST,Nordea Bank
PNDX-B.ST,Pandox B
SEB-C.ST,SEB C
SWED-A.ST,Swedbank A
8TRA.ST,TRATON SE
VOLV-B.ST,Volvo B
WIHL.ST,Wihlborgs Fastigh
AQ.ST,AQ Group
BERG-B.ST,Bergman & Beving B
BIOG-B.ST,BioGaia B
BONEX.ST,BONESUPPORT
CAMX.ST,Camurus
CLAS-B.ST,Clas Ohlson B
CTT.ST,CTT Systems
DUNI.ST,Duni
EMIL-B.ST,Emilshus
GIGSEK.ST,Gaming Innovation Group
KABE-B.ST,KABE Group
MCAP.ST,MedCap
MMGR-B.ST,Momentum Group
NPAPER.ST,Nordic Paper Holding AB
SCST.ST,Scandi Standard
SHOT.ST,Scandic Hotels Group
SLP-B.ST,Swedish Logistic Property
TDVOX.ST,Tobii Dynavox
VBG-B.ST,VBG Group
